Bond_length_ang,STO-6G_Energy
0.5,-2.664338649
0.51,-2.6816569155
0.52,-2.6977644954
0.53,-2.7127455807
0.54,-2.726677841
0.55,-2.7396330122
0.56,-2.7516774232
0.57,-2.7628724676
0.58,-2.7732750279
0.59,-2.7829378574
0.6,-2.7919099237
0.61,-2.8002367195
0.62,-2.8079605441
0.63,-2.8151207574
0.64,-2.8217540112
0.65,-2.8278944595
0.66,-2.8335739492
0.67,-2.8388221943
0.68,-2.8436669356
0.69,-2.8481340852
0.7,-2.8522478603
0.71,-2.8560309063
0.72,-2.8595044033
0.73,-2.8626881773
0.74,-2.8656007898
0.75,-2.8682596261
0.76,-2.8706809761
0.77,-2.8728801086
0.78,-2.8748713404
0.79,-2.8766680994
0.8,-2.8782829844
0.81,-2.8797278191
0.82,-2.881013703
0.83,-2.8821510588
0.84,-2.8831496761
0.85,-2.8840187514
0.86,-2.8847669271
0.87,-2.8854023257
0.88,-2.8859325829
0.89,-2.8863648783
0.9,-2.8867059634
0.91,-2.8869621885
0.92,-2.8871395271
0.93,-2.8872435991
0.94,-2.8872796918
0.95,-2.8872527826
0.96,-2.8871675498
0.97,-2.8870284009
0.98,-2.8868394821
0.99,-2.886604695
1.0,-2.8863277112
1.01,-2.8860119855
1.02,-2.8856607683
1.03,-2.8852771175
1.04,-2.8848639095
1.05,-2.8844238493
1.06,-2.8839594804
1.07,-2.8834731936
1.08,-2.882967236
1.09,-2.8824437184
1.1,-2.8819046233
1.11,-2.881351812
1.12,-2.8807870308
1.13,-2.880211918
1.14,-2.8796280115
1.15,-2.8790367457
1.16,-2.87843947
1.17,-2.8778374449
1.18,-2.8772318491
1.19,-2.8766237839
1.2,-2.876014277
1.21,-2.8754042871
1.22,-2.8747947071
1.23,-2.8741863677
1.24,-2.8735800412
1.25,-2.8729764439
1.26,-2.8723762398
1.27,-2.8717800431
1.28,-2.8711884208
1.29,-2.8706018954
1.3,-2.8700209474
1.31,-2.8694460197
1.32,-2.8688775103
1.33,-2.8683157886
1.34,-2.8677611882
1.35,-2.8672140104
1.36,-2.8666745268
1.37,-2.8661429803
1.38,-2.865619587
1.39,-2.8651045374
1.4,-2.8645979983
1.41,-2.8641001138
1.42,-2.8636110066
1.43,-2.8631307793
1.44,-2.8626595158
1.45,-2.8621972818
1.46,-2.8617441266
1.47,-2.8613000834
1.48,-2.860865171
1.49,-2.8604393939
1.5,-2.860022744
1.51,-2.8596152007
1.52,-2.8592167353
1.53,-2.8588272994
1.54,-2.8584468436
1.55,-2.8580753063
1.56,-2.8577126175
1.57,-2.8573586991
1.58,-2.857013466
1.59,-2.8566768261
1.6,-2.8563486812
1.61,-2.8560289273
1.62,-2.8557174556
1.63,-2.8554141522
1.64,-2.8551188991
1.65,-2.8548315746
1.66,-2.8545520535
1.67,-2.8542802075
1.68,-2.8540159059
1.69,-2.8537590154
1.7,-2.853509401
1.71,-2.8532669259
1.72,-2.8530314521
1.73,-2.8528028405
1.74,-2.852580951
1.75,-2.8523656434
1.76,-2.8521567768
1.77,-2.8519542105
1.78,-2.8517578039
1.79,-2.8515674165
1.8,-2.8513829087
1.81,-2.8512041415
1.82,-2.8510309765
1.83,-2.8508632768
1.84,-2.8507009062
1.85,-2.8505437301
1.86,-2.8503916153
1.87,-2.8502444299
1.88,-2.8501020439
1.89,-2.8499643288
1.9,-2.8498311581
1.91,-2.8497024071
1.92,-2.849577953
1.93,-2.8494576751
1.94,-2.8493414546
1.95,-2.849229175
1.96,-2.849120722
1.97,-2.8490159832
1.98,-2.8489148487
1.99,-2.8488172106
2.0,-2.8487229635
2.01,-2.8486320041
2.02,-2.8485442314
2.03,-2.8484595467
2.04,-2.8483778502
2.05,-2.8482990547
2.06,-2.8482230647
2.07,-2.8481497906
2.08,-2.8480791451
2.09,-2.848011043
2.1,-2.8479454012
2.11,-2.8478821391
2.12,-2.8478211781
2.13,-2.8477624415
2.14,-2.8477058551
2.15,-2.8476513464
2.16,-2.8475988453
2.17,-2.8475482835
2.18,-2.8474995946
2.19,-2.8474527143
2.2,-2.8474075801
2.21,-2.8473641315
2.22,-2.8473223097
2.23,-2.8472820577
2.24,-2.8472433203
2.25,-2.847206044
2.26,-2.8471701769
2.27,-2.8471356689
2.28,-2.8471024681
2.29,-2.8470705342
2.3,-2.8470398181
2.31,-2.847010276
2.32,-2.8469818651
2.33,-2.8469545443
2.34,-2.8469282738
2.35,-2.8469030151
2.36,-2.846878731
2.37,-2.8468553856
2.38,-2.8468329441
2.39,-2.846811373
2.4,-2.84679064
2.41,-2.8467707139
2.42,-2.8467515643
2.43,-2.8467331623
2.44,-2.8467154798
2.45,-2.8466984896
2.46,-2.8466821656
2.47,-2.8466664826
2.48,-2.8466514131
2.49,-2.8466369401
2.5,-2.8466230378
2.51,-2.8466096843
2.52,-2.8465968587
2.53,-2.8465845407
2.54,-2.8465727107
2.55,-2.8465613501
2.56,-2.8465504408
2.57,-2.8465399653
2.58,-2.8465299067
2.59,-2.8465202491
2.6,-2.8465109768
2.61,-2.8465020748
2.62,-2.8464935287
2.63,-2.8464853246
2.64,-2.8464774492
2.65,-2.8464698896
2.66,-2.8464626334
2.67,-2.8464556688
2.68,-2.8464489812
2.69,-2.8464425658
2.7,-2.8464364089
2.71,-2.8464305003
2.72,-2.8464248301
2.73,-2.8464193889
2.74,-2.8464141676
2.75,-2.8464091576
2.76,-2.8464043504
2.77,-2.846399738
2.78,-2.8463953126
2.79,-2.8463910668
2.8,-2.8463869935
2.81,-2.8463830857
2.82,-2.8463793368
2.83,-2.8463757405
2.84,-2.8463722906
2.85,-2.8463689814
2.86,-2.8463658071
2.87,-2.8463627623
2.88,-2.8463598389
2.89,-2.846357038
2.9,-2.8463543515
2.91,-2.846351775
2.92,-2.846349304
2.93,-2.8463469342
2.94,-2.8463446615
2.95,-2.846342482
2.96,-2.8463403919
2.97,-2.8463383876
2.98,-2.8463364657
2.99,-2.8463346227
3.0,-2.8463328556
